date,dimensions,grandParentId,grandParentParentGraph,hasCoordinatesDown,hasCoordinatesUp,id,level,name,parentGraph,parentId,parentName,temperature_2m,total_precipitation_sum,type,weight
2023-02-21,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.7805415776402,3.325943295690929e-06,Polygon,1
2023-02-22,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7433066359215,7.727359488608393e-05,Polygon,1
2023-02-22,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.4285335109647,2.143945456149424e-06,Polygon,1
2023-02-23,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.54555469531107,9.846446219267507e-05,Polygon,1
2023-02-23,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.36385220693296,1.7879357136912089e-06,Polygon,1
2023-02-24,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.16706811010954,0.0014560102132653875,Polygon,1
2023-02-24,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.2699057398454,0.00013850132871139236,Polygon,1
2023-02-25,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.953843166616,0.0006388982510049569,Polygon,1
2023-02-25,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.0876693338367,2.399136518958066e-06,Polygon,1
2023-02-26,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.1550774559418,7.919665036430867e-06,Polygon,1
2023-02-26,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7190276293525,1.1988076273309534e-06,Polygon,1
2023-02-27,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.2388102506611,1.198927745248501e-06,Polygon,1
2023-02-27,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.1699604096015,8.70227722771233e-07,Polygon,1
2023-02-28,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,301.7044914738556,1.1879602460660511e-05,Polygon,1
2023-02-28,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,302.7462514718124,3.750137534337303e-06,Polygon,1
