,time_period,rainfall,mean_temperature,disease_cases,population,parent,location
328,2021-04-12/2021-04-18,0.0,30.5,3,968996,-,1
329,2021-04-19/2021-04-25,43.3,29.2142857142857,4,968996,-,1
330,2021-04-26/2021-05-02,47.1,30.6285714285714,4,968996,-,1
331,2021-05-03/2021-05-09,36.9,29.0571428571429,3,968996,-,1
332,2021-05-10/2021-05-16,0.0,30.9285714285714,5,968996,-,1
333,2021-05-17/2021-05-23,0.9,32.0428571428571,2,968996,-,1
334,2021-05-24/2021-05-30,8.7,31.3142857142857,11,968996,-,1
335,2021-05-31/2021-06-06,34.9,31.0428571428571,8,968996,-,1
336,2021-06-07/2021-06-13,121.8,29.5142857142857,10,968996,-,1
337,2021-06-14/2021-06-20,110.1,27.6,10,968996,-,1
338,2021-06-21/2021-06-27,14.3,31.1714285714286,12,968996,-,1
339,2021-06-28/2021-07-04,98.1,29.5,16,968996,-,1
340,2021-07-05/2021-07-11,70.7,30.3285714285714,11,968996,-,1
341,2021-07-12/2021-07-18,63.8,29.4714285714286,22,968996,-,1
342,2021-07-19/2021-07-25,25.9,29.5285714285714,27,968996,-,1
343,2021-07-26/2021-08-01,42.4,28.7285714285714,27,968996,-,1
344,2021-08-02/2021-08-08,5.3,30.4714285714286,49,968996,-,1
345,2021-08-09/2021-08-15,18.1,30.6571428571429,31,968996,-,1
346,2021-08-16/2021-08-22,73.4,28.9428571428571,32,968996,-,1
347,2021-08-23/2021-08-29,124.1,30.1857142857143,45,968996,-,1
348,2021-08-30/2021-09-05,81.7,28.9142857142857,45,968996,-,1
349,2021-09-06/2021-09-12,8.1,28.2142857142857,31,968996,-,1
350,2021-09-13/2021-09-19,6.4,29.0285714285714,22,968996,-,1
351,2021-09-20/2021-09-26,19.8,28.6285714285714,28,968996,-,1
352,2021-09-27/2021-10-03,42.0,28.9857142857143,24,968996,-,1
353,2021-10-04/2021-10-10,3.2,29.9285714285714,33,968996,-,1
354,2021-10-11/2021-10-17,40.5,29.6285714285714,32,968996,-,1
355,2021-10-18/2021-10-24,25.5,27.2857142857143,30,968996,-,1
356,2021-10-25/2021-10-31,8.4,27.1857142857143,28,968996,-,1
357,2021-11-01/2021-11-07,12.4,28.9142857142857,31,968996,-,1
358,2021-11-08/2021-11-14,0.0,28.4857142857143,30,968996,-,1
359,2021-11-15/2021-11-21,0.0,26.4428571428571,32,968996,-,1
360,2021-11-22/2021-11-28,0.0,27.7714285714286,26,968996,-,1
361,2021-11-29/2021-12-05,0.0,24.1142857142857,24,968996,-,1
362,2021-12-06/2021-12-12,0.0,21.7428571428571,18,968996,-,1
363,2021-12-13/2021-12-19,0.0,24.2142857142857,10,968996,-,1
364,2021-12-20/2021-12-26,0.0,23.4571428571429,11,968996,-,1
365,2021-12-27/2022-01-02,0.0,24.5285714285714,10,968996,-,1
366,2022-01-03/2022-01-09,0.0,24.2666666666667,10,989292,-,1
367,2022-01-10/2022-01-16,0.0,25.3,4,989292,-,1
368,2022-01-17/2022-01-23,0.0,24.7285714285714,4,989292,-,1
369,2022-01-24/2022-01-30,8.2,24.2714285714286,6,989292,-,1
370,2022-01-31/2022-02-06,7.7,25.9285714285714,6,989292,-,1
371,2022-02-07/2022-02-13,0.0,25.1142857142857,9,989292,-,1
372,2022-02-14/2022-02-20,49.5,25.5714285714286,4,989292,-,1
373,2022-02-21/2022-02-27,56.1,22.3428571428571,5,989292,-,1
374,2022-02-28/2022-03-06,0.0,25.0,12,989292,-,1
375,2022-03-07/2022-03-13,15.8,28.7571428571429,3,989292,-,1
376,2022-03-14/2022-03-20,9.1,29.8,13,989292,-,1
377,2022-03-21/2022-03-27,54.7,28.8142857142857,19,989292,-,1
378,2022-03-28/2022-04-03,51.7,28.5285714285714,10,989292,-,1
379,2022-04-04/2022-04-10,0.0,26.1,7,989292,-,1
