time_period,rainfall,mean_temperature,disease_cases,location
2013-10,182.858,26.04,39,Amapa
2013-11,254.989,24.91,32,Amapa
2013-12,321.732,25,10,Amapa
2014-01,274.875,24.83,37,Amapa
2014-02,317.786,24.4,27,Amapa
2014-03,275.425,24.63,40,Amapa
2014-04,158.178,24.87,224,Amapa
2014-05,58.716,24.62,505,Amapa
2014-06,5.799,24.93,231,Amapa
2014-07,12.423,25.01,105,Amapa
2014-08,3.846,26.94,48,Amapa
2014-09,46.823,27.93,117,Amapa
2014-10,140.628,27.34,443,Amapa
2014-11,237.816,25.43,310,Amapa
2014-12,313.972,24.8,112,Amapa
2015-01,198.703,25.57,350,Amapa
2015-02,263.412,24.94,505,Amapa
2015-03,265.657,24.84,866,Amapa
2015-04,197.654,24.96,456,Amapa
2015-05,103.613,24.46,365,Amapa
2015-06,3.946,25.11,199,Amapa
2015-07,14.57,25.37,171,Amapa
2015-08,7.73,27.5,142,Amapa
2015-09,23.999,29.15,138,Amapa
2015-10,101.113,28.22,78,Amapa
2015-11,154.486,26.92,149,Amapa
2015-12,179.557,26.89,74,Amapa
2016-01,395.876,25.31,105,Amapa
2016-02,174.746,26.58,282,Amapa
2016-03,287.684,25.67,422,Amapa
2016-04,75.459,26.3,321,Amapa
2016-05,30.823,26,208,Amapa
2016-06,16.304,24.79,86,Amapa
2016-07,0.169,25.81,72,Amapa
2016-08,26.449,26.97,102,Amapa
2016-09,84.974,26.68,92,Amapa
2016-10,154.423,26.51,92,Amapa
2016-11,235.95,25.74,62,Amapa
2016-12,294.619,25.32,45,Amapa
2001-03,141.277,23.33,231,Amazonas
2001-04,28.105,23.08,59,Amazonas
2001-05,43.849,21.14,48,Amazonas
2001-06,6.506,19.76,23,Amazonas
2001-07,9.017,19.84,9,Amazonas
2001-08,20.029,20.15,4,Amazonas
2001-09,45.954,21.79,13,Amazonas
2001-10,111.469,22.04,1,Amazonas
2001-11,247.57,22.85,0,Amazonas
2001-12,243.448,22.72,8,Amazonas
2002-01,220.124,23.2,47,Amazonas
2002-02,229.4,22.75,205,Amazonas
2002-03,96.468,23.43,80,Amazonas
2002-04,21.557,23.18,22,Amazonas
2002-05,25.573,21.61,13,Amazonas
2002-06,4.712,20.34,7,Amazonas
2002-07,12.847,20.12,5,Amazonas
