location,time_period,horizon_distance,sample,forecast
LA-BK,201008,0,54,12.129023253468647
LA-BK,201008,0,55,3.0625470644483053
LA-BK,201008,0,56,0.21026306807024053
LA-BK,201008,0,57,4.919289722931627
LA-BK,201008,0,58,9.770558749058361
LA-BK,201008,0,59,2.5845322803988986
LA-BK,201008,0,60,0.0
LA-BK,201008,0,61,1.142585574291494
LA-BK,201008,0,62,11.054458375982044
LA-BK,201008,0,63,12.488502728130262
LA-BK,201008,0,64,0.21026306807024053
LA-BK,201008,0,65,15.301274954712394
LA-BK,201008,0,66,1.6206003583409
LA-BK,201008,0,67,10.687076547361244
LA-BK,201008,0,68,1.1504879282506804
LA-BK,201008,0,69,1.6443074202184589
LA-BK,201008,0,70,0.6882778521196466
LA-BK,201008,0,71,12.065804421795159
LA-BK,201008,0,72,6.7918370893333195
LA-BK,201008,0,73,6.36123642903903
LA-BK,201008,0,74,1.1662926361690527
LA-BK,201008,0,75,41.6354733937239
LA-BK,201008,0,76,0.0
LA-BK,201008,0,77,0.6724731442012742
LA-BK,201008,0,78,1.612698004381714
LA-BK,201008,0,79,0.0
LA-BK,201008,0,80,7.293558935260284
LA-BK,201008,0,81,2.600336988317271
LA-BK,201008,0,82,23.154972702441732
LA-BK,201008,0,83,3.070449418407491
LA-BK,201008,0,84,6.36123642903903
LA-BK,201008,0,85,6.408650552794147
LA-BK,201008,0,86,9.166106301661978
LA-BK,201008,0,87,9.604609315915452
LA-BK,201008,0,88,3.9869672167103722
LA-BK,201008,0,89,13.41292288039233
LA-BK,201008,0,90,49.133565213289856
LA-BK,201008,0,91,2.0828104344719343
LA-BK,201008,0,92,4.449177292841406
LA-BK,201008,0,93,1.142585574291494
LA-BK,201008,0,94,0.6882778521196466
LA-BK,201008,0,95,15.984750941700643
LA-BK,201008,0,96,1.142585574291494
LA-BK,201008,0,97,238.08715269372152
LA-BK,201008,0,98,51.322206738058995
LA-BK,201008,0,99,8.6722868096942
LA-BK,201009,1,0,3.506457696579572
LA-BK,201009,1,1,0.0
LA-BK,201009,1,2,2.119827468186471
LA-BK,201009,1,3,3.5301647584571305
LA-BK,201009,1,4,4.008179542506537
LA-BK,201009,1,5,32.70084248592833
LA-BK,201009,1,6,1.1479931921692863
LA-BK,201009,1,7,35.979853596102444
LA-BK,201009,1,8,0.6778807620790662
LA-BK,201009,1,9,2.613646960154249
LA-BK,201009,1,10,1.6497150380962509
LA-BK,201009,1,11,10.550241793973685
LA-BK,201009,1,12,0.20776833198884637
LA-BK,201009,1,13,6.915780016598904
LA-BK,201009,1,14,0.0
LA-BK,201009,1,15,1.6260079762186923
LA-BK,201009,1,16,8.286605537073633
LA-BK,201009,1,17,39.807845414995924
LA-BK,201009,1,18,13.370916374515005
LA-BK,201009,1,19,2.1119251142272844
LA-BK,201009,1,20,1.6497150380962509
LA-BK,201009,1,21,3.036345266489352
LA-BK,201009,1,22,9.226830397254073
LA-BK,201009,1,23,2.5899398982766906
LA-BK,201009,1,24,5.379005062981265
LA-BK,201009,1,25,4.916794986850231
LA-BK,201009,1,26,1.1479931921692863
LA-BK,201009,1,27,0.7015878239566248
LA-BK,201009,1,28,0.0
LA-BK,201009,1,29,0.6936854699974386
LA-BK,201009,1,30,196.19382979224537
LA-BK,201009,1,31,2.0961204063089123
LA-BK,201009,1,32,0.0
LA-BK,201009,1,33,12.948218068179902
LA-BK,201009,1,34,0.0
LA-BK,201009,1,35,1.6576173920554371
LA-BK,201009,1,36,18.866149617834058
LA-BK,201009,1,37,67.95927474269483
LA-BK,201009,1,38,0.20776833198884637
LA-BK,201009,1,39,0.21567068594803257
LA-BK,201009,1,40,0.0
LA-BK,201009,1,41,1.618105622259506
LA-BK,201009,1,42,0.0
LA-BK,201009,1,43,16.69331280098329
LA-BK,201009,1,44,10.230274089108002
LA-BK,201009,1,45,10.660874749402291
LA-BK,201009,1,46,5.386907416940451
LA-BK,201009,1,47,0.6857831160382525
LA-BK,201009,1,48,6.319229923161705
LA-BK,201009,1,49,14.054392361503252
LA-BK,201009,1,50,4.4466825567600115
LA-BK,201009,1,51,4.438780202800825
LA-BK,201009,1,52,1.1717002540468446
LA-BK,201009,1,53,9.760161659017783
LA-BK,201009,1,54,50.62833366103017
LA-BK,201009,1,55,3.498555342620386
LA-BK,201009,1,56,0.0
LA-BK,201009,1,57,3.0916617442036554
LA-BK,201009,1,58,14.91559368209183
LA-BK,201009,1,59,1.1637979000876586
LA-BK,201009,1,60,2.613646960154249
