location,time_period,horizon_distance,sample,forecast
LA-BK,201009,1,19,7.635358412370504
LA-BK,201009,1,20,1.8859291206869
LA-BK,201009,1,21,0.8260328158940243
LA-BK,201009,1,22,0.0
LA-BK,201009,1,23,9.30520325423703
LA-BK,201009,1,24,32.74084637255305
LA-BK,201009,1,25,1.5439601138458734
LA-BK,201009,1,26,0.0
LA-BK,201009,1,27,30.879087641205366
LA-BK,201009,1,28,1.6579497827928824
LA-BK,201009,1,29,0.18209499455057748
LA-BK,201009,1,30,69.5472700419389
LA-BK,201009,1,31,21.681989904910512
LA-BK,201009,1,32,7.1393995442438625
LA-BK,201009,1,33,0.0
LA-BK,201009,1,34,2.7918355641941606
LA-BK,201009,1,35,0.0
LA-BK,201009,1,36,0.9000222925024267
LA-BK,201009,1,37,0.0
LA-BK,201009,1,38,1.5439601138458734
LA-BK,201009,1,39,6.0115246709113945
LA-BK,201009,1,40,1.3559809682904622
LA-BK,201009,1,41,1.3159807759518558
LA-BK,201009,1,42,3.395773193199001
LA-BK,201009,1,43,9.031212815935596
LA-BK,201009,1,44,9.413182015115229
LA-BK,201009,1,45,5.595566187461966
LA-BK,201009,1,46,0.0
LA-BK,201009,1,47,0.0
LA-BK,201009,1,48,1.3559809682904622
LA-BK,201009,1,49,0.48406380905299773
LA-BK,201009,1,50,0.48406380905299773
LA-BK,201009,1,51,0.0
LA-BK,201009,1,52,4.267690352436466
LA-BK,201009,1,53,1.7719394517398912
LA-BK,201009,1,54,7.863337750264522
LA-BK,201009,1,55,1.1280016303964444
LA-BK,201009,1,56,5.099607319335323
LA-BK,201009,1,57,0.8260328158940243
LA-BK,201009,1,58,0.0
LA-BK,201009,1,59,3.395773193199001
LA-BK,201009,1,60,3.965721537934045
LA-BK,201009,1,61,5.931524286234181
LA-BK,201009,1,62,0.0
LA-BK,201009,1,63,0.06810532560356863
LA-BK,201009,1,64,24.02976185239028
LA-BK,201009,1,65,13.960746956857964
LA-BK,201009,1,66,3.8917320613256425
LA-BK,201009,1,67,18.59825793527246
LA-BK,201009,1,68,0.5980534780000065
LA-BK,201009,1,69,0.0
LA-BK,201009,1,70,8.50727557160797
LA-BK,201009,1,71,0.7120431469470154
LA-BK,201009,1,72,10.895047711426344
LA-BK,201009,1,73,1.5439601138458734
LA-BK,201009,1,74,1.7719394517398912
LA-BK,201009,1,75,30.889033293199923
LA-BK,201009,1,76,4.381680021383474
LA-BK,201009,1,77,0.29608466349758633
LA-BK,201009,1,78,0.0
LA-BK,201009,1,79,6.729451968863243
LA-BK,201009,1,80,1.8859291206869
LA-BK,201009,1,81,24.125718797130858
LA-BK,201009,1,82,15.02064326165084
LA-BK,201009,1,83,3.6637527234316254
LA-BK,201009,1,84,1.8859291206869
LA-BK,201009,1,85,0.0
LA-BK,201009,1,86,2.563856226300143
LA-BK,201009,1,87,11.384995671484175
LA-BK,201009,1,88,8.621265240554978
LA-BK,201009,1,89,0.29608466349758633
LA-BK,201009,1,90,45.26561197644334
LA-BK,201009,1,91,2.7918355641941606
LA-BK,201009,1,92,8.803233478041578
LA-BK,201009,1,93,18.63825812761107
LA-BK,201009,1,94,34.67265983658339
LA-BK,201009,1,95,11.384995671484175
LA-BK,201009,1,96,2.979814709749572
